id,numero,status,descricao,rotulos,id_responsavel,valor_aquisicao,valor_depreciado,numero_nota_fiscal,numero_serie,data_entrada,data_carga,fornecedor,id_sala,estado_conservacao,marca,modelo,categoria,descricao_resumida,observacoes,situacao,ed
2673,365618,Ativo,"MESA RETANGULAR DIMENSÕES: 1400 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,672.00,672.00,61159,,2015-11-30,2025-07-12 22:35:43.286774,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,92,,,,MOBILIARIO,,,,12311.0303
2674,365619,Ativo,"MESA RETANGULAR DIMENSÕES: 1400 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,672.00,672.00,61159,,2015-11-30,2025-07-12 22:35:43.495164,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,83,,,,MOBILIARIO,,,,12311.0303
2676,365621,Ativo,"MESA RETANGULAR A DIMENSÕES: 1000 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,581.00,581.00,61159,,2015-11-30,2025-07-12 22:35:43.815446,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,78,,,,MOBILIARIO,,,,12311.0303
2677,365622,Ativo,"MESA RETANGULAR A DIMENSÕES: 1000 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,581.00,581.00,61159,,2015-11-30,2025-07-12 22:35:43.963522,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,79,,,,MOBILIARIO,,,,12311.0303
4006,371893,Ativo,"ESTANTE ABERTA, DIMENSÕES: 800 X 500 X 2100 MM (LxPxA) TAMPO SUPERIOR, CORPO (02 LATERAIS, 01 FUNDO, 01 TAMPO INFERIOR, E 01 PRATELEIRA FIXA, 05 PRATELEIRAS MÓVEIS) CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE (MDP), RODAPÉ RETANGULAR FECHADO EM TUBOS DE AÇO DE 50 X 20 X 1,2 MM CONTINUO DOBRADO. MARCA FORTLINE",-,8,1213.00,1213.00,63034,,2016-03-04,2025-07-12 22:39:28.521168,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,73,,,,MOBILIARIO,,,,12311.0303
5792,385645,Ativo,"USE A CABEÇA! JAVA, 2A ED. 2007, EDITORA ALTA - LIVRO",-,6,91.36,91.36,14926,,2016-09-23,2025-07-12 22:44:26.798831,GD DISTRIBUIDORA DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
7459,457251,Ativo,"LIVRO: ADMINISTRAÇÃO DE MATERIAIS E DO PATRIMÔNIO - FRANCISCHINI/GURGEL. 2 Ed. CENGAGE, 2017",-,6,110.27,110.27,37845,,2019-10-22,2025-07-12 22:49:11.312669,GD DISTRIBUIDORA DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
11480,516166,Pendente,"ELETRÔNICA INDUSTRIAL, 2023, EDITORA  A.H. - LIVRO",-,,211.75,211.75,388,,,2025-11-18 08:50:27.973848,Stem Soluções e Integrações Educacionais LTDA,30,,,,OUTROS,,,,12311.0402
2679,365624,Ativo,"MESA RETANGULAR A DIMENSÕES: 1000 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,581.00,581.00,61159,,2015-11-30,2025-07-12 22:35:44.440774,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,89,,,,MOBILIARIO,,,,12311.0303
2680,365625,Ativo,"MESA RETANGULAR A DIMENSÕES: 800 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,32,536.00,536.00,61159,,2015-11-30,2025-07-12 22:35:44.579351,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,90,,,,MOBILIARIO,,,,12311.0303
2681,365626,Ativo,"MESA RETANGULAR A DIMENSÕES: 800 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,32,536.00,536.00,61159,,2015-11-30,2025-07-12 22:35:44.781743,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,90,,,,MOBILIARIO,,,,12311.0303
2682,365627,Ativo,"MESA RETANGULAR A DIMENSÕES: 800 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,32,536.00,536.00,61159,,2015-11-30,2025-07-12 22:35:44.933591,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,90,,,,MOBILIARIO,,,,12311.0303
