id,id_item_composto,id_inventario,id_coletor,quantidade_encontrada,status_componente,observacao_coleta,data_coleta,localizacao_encontrada
271,1282,2,12,1,COMPLETO,,,
272,1339,2,12,1,COMPLETO,,,
273,4441,2,12,1,COMPLETO,,,
274,1009,2,12,1,COMPLETO,,,
275,4444,2,12,1,COMPLETO,,,
277,1487,2,12,1,COMPLETO,,,
278,1370,2,12,1,COMPLETO,,,
279,1357,2,12,1,COMPLETO,,,
280,1661,2,12,1,COMPLETO,,,
281,1786,2,12,1,COMPLETO,,,
282,1213,2,12,1,COMPLETO,,,
283,1470,2,12,1,COMPLETO,,,
284,1579,2,12,1,COMPLETO,,,
143,1790,2,12,1,COMPLETO,"item duplicado? Mesa acusou como já registrada, mas agora que estou coletando na B6.",2025-12-01 11:43:21.970894,
286,1309,2,12,1,COMPLETO,,,
287,1035,2,12,1,COMPLETO,,,
288,1740,2,12,1,COMPLETO,,,
289,1741,2,12,1,COMPLETO,,,
291,4447,2,12,1,COMPLETO,,,
292,1774,2,12,1,COMPLETO,,,
293,1435,2,12,1,COMPLETO,,,
294,1386,2,12,1,COMPLETO,,,
295,4449,2,12,1,COMPLETO,,,
296,1636,2,12,1,COMPLETO,,,
297,1769,2,12,1,COMPLETO,,,
298,1802,2,12,1,COMPLETO,,,
299,1659,2,12,1,COMPLETO,,,
300,1322,2,12,1,COMPLETO,,,
301,1791,2,12,1,COMPLETO,,,
302,1820,2,12,1,COMPLETO,,,
267,1799,2,12,1,COMPLETO,,2025-12-01 11:52:09.614397,
304,1707,2,12,1,COMPLETO,,,
305,1654,2,12,1,COMPLETO,,,
306,1201,2,12,1,COMPLETO,,,
307,1496,2,12,1,COMPLETO,,,
308,1783,2,12,1,COMPLETO,,,
309,4451,2,12,1,COMPLETO,,,
310,1610,2,12,1,COMPLETO,,,
311,1311,2,12,1,COMPLETO,,,
312,1768,2,12,1,COMPLETO,,,
313,1363,2,12,1,COMPLETO,,,
314,1580,2,12,1,COMPLETO,,,
315,1225,2,12,1,COMPLETO,,,
316,1412,2,12,1,COMPLETO,,,
